Id,Unidad,formation,name,geometry,X,Y,Z
0.0,ToF,ToF,N_5,POINT (503468.8006684715 2202500.7547631646),503468.8,2202500.75,2347.31
0.0,ToF,ToF,N_4,POINT (507785.79947541375 2207500.7547630183),507785.8,2207500.75,2415.89
0.0,ZF,ZF,N_4,POINT (499116.7994754175 2207500.7547633126),499116.8,2207500.75,2488.31
0.0,ToF,ToF,N_7,POINT (487121.41155147366 2192500.7547637206),487121.41,2192500.75,2271.36
,,ZF,N_7,POINT (484232.72088916897 2192500.7547638183),484232.72,2192500.75,2331.0
,,MxF,N_7,POINT (462962.7064666054 2192500.7547645406),462962.71,2192500.75,2193.0
,,ZF,N_6b,POINT (491365.23691899644 2199688.3831898007),491365.24,2199688.38,2282.0
0.0,NF,NF,N_6,POINT (534132.6769480584 2197500.7547621257),534132.68,2197500.75,2421.06
,,F9,N_6,POINT (520323.52365783433 2197500.754762594),520323.52,2197500.75,2355.0
0.0,TF,TF,N_6,POINT (518015.1769480584 2197500.7547626724),518015.18,2197500.75,2337.86
,,F9,N_5,POINT (524116.6271060131 2202500.754762465),524116.63,2202500.75,2582.0
0.0,TF,TF,N_5,POINT (523143.8756684745 2202500.7547624977),523143.88,2202500.75,2601.44
,,F9,N_4,POINT (527909.7305541914 2207500.754762335),527909.73,2207500.75,2497.0
0.0,TF,TF,N_4,POINT (527047.0305664139 2207500.7547623646),527047.03,2207500.75,2397.82
,,F9,N_3,POINT (531702.8340023702 2212500.7547622067),531702.83,2212500.75,2442.0
0.0,TF,TF,N_3,POINT (531165.7982823728 2212500.754762225),531165.8,2212500.75,2398.99
,,F9,N_2,POINT (535495.9374505492 2217500.7547620777),535495.94,2217500.75,2461.0
0.0,ToF,ToF,N_3,POINT (514141.6182823805 2212500.754762802),514141.62,2212500.75,2400.02
0.0,ZF,ZF,N_3,POINT (504593.79828237277 2212500.7547631254),504593.8,2212500.75,2497.61
0.0,ToF,ToF,N_2,POINT (516339.27580162877 2217500.754762728),516339.28,2217500.75,2490.45
,,ZF,N_1,POINT (512192.9706995767 2222500.7547628684),512192.97,2222500.75,2400.0
,,ATF,V_5,POINT (529860.876071538 2149234.911101247),529860.88,2149234.91,3777.0
,,TxF,S_1,POINT (521648.11309944635 2151825.077359116),521648.11,2151825.08,2657.0
,,ATF,S_1,POINT (532081.0185797905 2151825.0773608745),532081.02,2151825.08,3528.0
0.0,ATF,ATF,N_14,POINT (537866.6815502858 2157500.7547619985),537866.68,2157500.75,2943.06
0.0,TxF,TxF,N_14,POINT (524436.0015502861 2157500.754762454),524436.0,2157500.75,2618.84
,,F2,N_14,POINT (521424.6820223011 2157500.754762556),521424.68,2157500.75,2604.0
,,F1,N_14,POINT (516988.4541811379 2157500.7547627063),516988.45,2157500.75,2297.0
,,F2,N_13,POINT (532925.948596219 2162500.7547621657),532925.95,2162500.75,2839.0
,,F1,N_13,POINT (528458.158435883 2162500.7547623175),528458.16,2162500.75,2757.0
0.0,TxF,TxF,N_13,POINT (526927.2915504668 2162500.754762369),526927.29,2162500.75,2690.14
,,HF,S_1,POINT (551147.9243930884 2151825.0773640876),551147.92,2151825.08,2682.0
,,ChF,S_1,POINT (558648.5494724289 2151825.0773653514),558648.55,2151825.08,2645.0
0.0,HF,HF,N_14,POINT (555839.381550285 2157500.754761389),555839.38,2157500.75,2592.01
0.0,ATF,ATF,N_13,POINT (541137.0209603589 2162500.754761887),541137.02,2162500.75,2726.58
0.0,ATF,ATF,N_12,POINT (545517.3115506312 2167500.75476174),545517.31,2167500.75,2560.23
,,F2,N_12,POINT (544427.2151701412 2167500.754761777),544427.22,2167500.75,2570.0
,,F1,N_12,POINT (539927.8626906321 2167500.7547619296),539927.86,2167500.75,2587.0
,,F2,N_11,POINT (555928.4817440573 2172500.7547613857),555928.48,2172500.75,2568.0
,,F1,N_11,POINT (551397.5669453747 2172500.7547615394),551397.57,2172500.75,2498.0
0.0,ATF,ATF,N_11,POINT (549803.0115508074 2172500.7547615934),549803.01,2172500.75,2485.38
,,ChF,N_14,POINT (563378.2806355798 2157500.7547611333),563378.28,2157500.75,2673.0
,,ChF,N_13,POINT (567544.947302127 2162500.7547609904),567544.95,2162500.75,2542.0
0.0,HF,HF,N_13,POINT (559972.3115504477 2162500.7547612474),559972.31,2162500.75,2629.03
0.0,ChF,ChF,N_12,POINT (567863.511550623 2167500.7547609815),567863.51,2167500.75,2537.98
,,HF,N_12,POINT (564105.2763103537 2167500.754761109),564105.28,2167500.75,2512.0
,,ChF,N_11,POINT (575878.280635225 2172500.754760709),575878.28,2172500.75,2582.0
,,HF,N_11,POINT (568238.2243127674 2172500.7547609685),568238.22,2172500.75,2534.0
,,F6,N_11,POINT (562017.0410752639 2172500.7547611794),562017.04,2172500.75,2526.0
,,F6,V_4,POINT (582980.0937489062 2174341.413044718),582980.09,2174341.41,3084.0
,,ChF,N_10,POINT (580044.9473017718 2177500.754760566),580044.95,2177500.75,2808.0
,,HF,N_10,POINT (572371.1723151803 2177500.7547608265),572371.17,2177500.75,2642.0
,,F2,N_10,POINT (567429.7483179728 2177500.7547609946),567429.75,2177500.75,2591.0
,,F1,N_10,POINT (562867.2712001174 2177500.754761149),562867.27,2177500.75,2563.0
,,ChF,V_4,POINT (582980.0937485631 2181022.930496716),582980.09,2181022.93,2787.0
,,F2,N_9,POINT (578931.0148918945 2182500.7547606057),578931.01,2182500.75,3241.0
,,HF,N_9,POINT (576504.1203175957 2182500.7547606877),576504.12,2182500.75,3000.0
,,F1,N_9,POINT (574336.9754548656 2182500.7547607613),574336.98,2182500.75,2765.0
0.0,ATF,ATF,N_9,POINT (559078.7715511248 2182500.7547612786),559078.77,2182500.75,2537.56
,,F2,V_4,POINT (582980.0937483968 2184261.0299573257),582980.09,2184261.03,2955.0
,,F1,V_4,POINT (582980.0937482937 2186268.5582283963),582980.09,2186268.56,2733.0
0.0,ATF,ATF,N_10,POINT (554088.741550982 2177500.754761447),554088.74,2177500.75,2494.1
0.0,TxF,TxF,N_9,POINT (539716.4115511365 2182500.754761935),539716.41,2182500.75,2477.31
0.0,TxF,TxF,N_8,POINT (542203.9115513051 2187500.754761853),542203.91,2187500.75,2507.91
,,F10,N_8,POINT (540557.6072605946 2187500.754761908),540557.61,2187500.75,2540.0
,,F10,N_7,POINT (548370.107260174 2192500.7547616414),548370.11,2192500.75,3200.0
0.0,TxF,TxF,N_7,POINT (544345.4115514737 2192500.754761778),544345.41,2192500.75,2466.64
,,F10,P8_B,POINT (548524.8069157139 2192599.762541187),548524.81,2192599.76,3200.0
,,F10,P8_A,POINT (551692.2704124603 2194626.9391791057),551692.27,2194626.94,2905.0
,,F10,N_6,POINT (556182.6072597582 2197500.7547613773),556182.61,2197500.75,2783.0
0.0,TxF,TxF,N_6,POINT (546950.8769480614 2197500.7547616907),546950.88,2197500.75,2700.76
,,HF,N_8,POINT (580637.0683200115 2187500.75476055),580637.07,2187500.75,3021.0
0.0,ATF,ATF,N_8,POINT (562255.4115513051 2187500.754761173),562255.41,2187500.75,2597.33
,,HF,P1_B,POINT (580858.4688940215 2187768.6030057664),580858.47,2187768.6,3054.0
0.0,ATF,ATF,P8_B,POINT (563513.8739961261 2189479.8840000154),563513.87,2189479.88,2587.68
,,HF,V_4,POINT (582980.0937480849 2190335.3239671295),582980.09,2190335.32,2663.0
0.0,ATF,ATF,N_7,POINT (567193.0815514792 2192500.7547610025),567193.08,2192500.75,2637.0
0.0,ATF,ATF,N_6,POINT (570679.1769480659 2197500.7547608856),570679.18,2197500.75,2583.28
0.0,ATF,ATF,N_5,POINT (573979.2606684798 2202500.7547607752),573979.26,2202500.75,2598.13
,,F10,N_5,POINT (563995.1072593424 2202500.754761114),563995.11,2202500.75,2593.0
,,ATF,N_4,POINT (577279.2608700455 2207500.7547606598),577279.26,2207500.75,2588.0
,,F10,N_4,POINT (571807.6072589203 2207500.7547608456),571807.61,2207500.75,2500.0
,,ATF,N_3,POINT (580579.2608699764 2212500.75476055),580579.26,2212500.75,2477.0
,,F10,N_3,POINT (579620.1072585054 2212500.7547605825),579620.11,2212500.75,2468.0
0.0,TxF,TxF,N_5,POINT (549639.0406684699 2202500.7547616),549639.04,2202500.75,2897.26
0.0,NF,NF,N_5,POINT (539608.5306684719 2202500.75476194),539608.53,2202500.75,2562.95
0.0,TxF,TxF,N_4,POINT (552555.3094754266 2207500.754761499),552555.31,2207500.75,2721.79
0.0,NF,NF,N_4,POINT (542634.7824636186 2207500.7547618356),542634.78,2207500.75,2582.55
0.0,TxF,TxF,N_3,POINT (554985.6682823775 2212500.7547614174),554985.67,2212500.75,2688.06
0.0,NF,NF,N_3,POINT (545687.7982823653 2212500.7547617326),545687.8,2212500.75,2744.49
,,TxF,P3_C,POINT (555603.1029623811 2214157.7257813006),555603.1,2214157.73,2610.0
,,NF,P3_C,POINT (546972.536707011 2214612.2606433975),546972.54,2214612.26,2661.0
,,NF,N_2,POINT (548728.7900686404 2217500.754761629),548728.79,2217500.75,2596.0
,,F9,N_1,POINT (539289.0408987284 2222500.754761949),539289.04,2222500.75,2688.0
0.0,TF,TF,N_1,POINT (538871.1048208195 2222500.754761963),538871.1,2222500.75,2698.69
,,F9,P3_A,POINT (540244.7392245759 2223760.538918748),540244.74,2223760.54,2837.0
,,TF,P3_A,POINT (540591.2000369994 2224975.1641892195),540591.2,2224975.16,2800.0
,,NF,P3_B,POINT (552103.7121339679 2225740.9483387223),552103.71,2225740.95,2440.0
0.0,TF,TF,N_2,POINT (535394.2758016326 2217500.754762081),535394.28,2217500.75,2459.15
,,ToF,P4_C,POINT (525950.2266810592 2222033.0220869044),525950.23,2222033.02,2387.0
0.0,ToF,ToF,N_1,POINT (519188.4048208165 2222500.754762631),519188.4,2222500.75,2499.86
,,ZF,P4_B,POINT (520087.80571112264 2232890.911710312),520087.81,2232890.91,2700.0
