Id_1,Unidad,formation,Shape_Leng,Shape_Area,InPoly_FID,SimPgnFlag,MaxSimpTol,MinSimpTol,Id_2,geometry,X,Y,Z
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (492347.3194000004 2189166.1910999995),492347.3194000004,2189166.1910999995,2252.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (497229.9391000001 2188460.107000001),497229.9391000001,2188460.107000001,2250.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (502078.4911000002 2186646.9735000003),502078.4911000002,2186646.9735000003,2256.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (503097.0250000004 2186348.8660000004),503097.0250000004,2186348.8660000004,2259.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (491627.73199999984 2189223.000600001),491627.73199999984,2189223.000600001,2249.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (491843.8387000002 2189205.9395000003),491843.8387000002,2189205.9395000003,2250.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (503341.5758999996 2186055.8073999994),503341.5758999996,2186055.8073999994,2258.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (503341.5758999996 2185516.6115000006),503341.5758999996,2185516.6115000006,2250.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (503619.9157999996 2184964.338199999),503619.9157999996,2184964.338199999,2254.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (479141.99729999993 2183745.129899999),479141.99729999993,2183745.129899999,2250.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (479297.51740000024 2184325.984099999),479297.51740000024,2184325.984099999,2252.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (479512.46109999996 2184906.3323),479512.46109999996,2184906.3323,2250.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (478621.8844999997 2188554.3779000007),478621.8844999997,2188554.3779000007,2250.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (477544.6492999997 2190113.756100001),477544.6492999997,2190113.756100001,2253.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (477743.08719999995 2191304.3835000005),477743.08719999995,2191304.3835000005,2249.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (478834.4956 2191535.8944000006),478834.4956,2191535.8944000006,2248.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (480223.5608999999 2190642.9239000008),480223.5608999999,2190642.9239000008,2256.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (480663.58770000003 2191163.007200001),480663.58770000003,2191163.007200001,2268.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (504904.7943000002 2184254.067399999),504904.7943000002,2184254.067399999,2263.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (504631.4221999999 2181018.685900001),504631.4221999999,2181018.685900001,2251.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (504170.91000000015 2180899.2938),504170.91000000015,2180899.2938,2250.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (482978.13350000046 2159826.1374999993),482978.13350000046,2159826.1374999993,2266.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (484357.68369999994 2160857.3955000006),484357.68369999994,2160857.3955000006,2250.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (484938.32710000034 2160033.3319000006),484938.32710000034,2160033.3319000006,2249.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (480000.96591266873 2149062.3979368005),480000.96591266873,2149062.3979368005,2248.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (479912.6749 2149506.7478),479912.6749,2149506.7478,2248.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (478642.67229999974 2152099.6697000004),478642.67229999974,2152099.6697000004,2250.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (478774.9642000003 2153475.5057999995),478774.9642000003,2153475.5057999995,2250.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (477081.6275000004 2154824.8835000005),477081.6275000004,2154824.8835000005,2252.0
