X,Y,Z,dip,azimuth,polarity,geometry,Id,Unidad,formation,name
529536.67,2106825.08,-1.51,0.2,90.0,1.0,POINT (529536.67 2106825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_11
528019.16,2106825.08,2144.34,1.38,270.0,1.0,POINT (528019.16 2106825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_11
528877.82,2106825.08,2444.91,41.77,270.0,1.0,POINT (528877.82 2106825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_11
529499.34,2106825.08,1069.48,0.39,270.0,1.0,POINT (529499.34 2106825.08),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_11
536972.57,2106825.08,1120.53,0.39,270.0,1.0,POINT (536972.57 2106825.08),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_11
537005.38,2106825.08,-27.91,0.2,90.0,1.0,POINT (537005.38 2106825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_11
529860.88,2108062.16,2665.15,78.63,360.0,1.0,POINT (529860.88 2108062.16),0.0,,Quaternary_Pyro2,V_5
529860.88,2108244.03,2498.7,11.59,360.0,1.0,POINT (529860.88 2108244.03),0.0,,Quaternary_Pyro2,V_5
529860.88,2108656.78,2455.05,2.64,360.0,1.0,POINT (529860.88 2108656.78),0.0,,Quaternary_Pyro2,V_5
529860.88,2108881.54,1071.95,0.0,360.0,1.0,POINT (529860.88 2108881.54),0.0,,Neogene_Volcanic,V_5
520419.86,2106825.08,2249.06,46.98,270.0,1.0,POINT (520419.86 2106825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
526160.43,2106825.08,1980.14,7.12,270.0,1.0,POINT (526160.43 2106825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_11
520057.32,2106825.08,2030.38,19.67,270.0,1.0,POINT (520057.32 2106825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
521059.31,2106825.08,1626.14,0.0,270.0,1.0,POINT (521059.31 2106825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_11
520963.26,2106825.08,-1000.0,0.0,270.0,1.0,POINT (520963.26 2106825.08),0.0,Cretacico-Calizas,Cretaceous_limestone,S_11
527051.33,2106825.08,2084.48,6.21,270.0,1.0,POINT (527051.33 2106825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_11
524940.34,2106825.08,1774.43,11.04,270.0,1.0,POINT (524940.34 2106825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_11
522465.86,2106825.08,1021.42,0.39,270.0,1.0,POINT (522465.86 2106825.08),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_11
522470.37,2106825.08,23.46,0.2,90.0,1.0,POINT (522470.37 2106825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_11
525160.59,2111825.08,1848.69,12.79,270.0,1.0,POINT (525160.59 2111825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
529860.88,2108897.47,-2.66,0.0,360.0,1.0,POINT (529860.88 2108897.47),0.0,,Paleogene_Volcanic,V_5
529860.88,2108920.94,-1293.42,7.97,360.0,1.0,POINT (529860.88 2108920.94),0.0,,Cretaceous_limestone,V_5
529860.88,2109176.69,2435.2,1.74,360.0,1.0,POINT (529860.88 2109176.69),0.0,,Quaternary_Pyro2,V_5
529860.88,2109787.88,2447.11,3.25,180.0,1.0,POINT (529860.88 2109787.88),0.0,,Quaternary_Pyro2,V_5
529860.88,2110430.81,2459.02,1.55,360.0,1.0,POINT (529860.88 2110430.81),0.0,,Quaternary_Pyro2,V_5
529860.88,2110810.78,2452.43,0.9,180.0,1.0,POINT (529860.88 2110810.78),0.0,,Quaternary_Pyro2,V_5
529860.88,2110989.24,2719.0,86.0,0.17,1.0,POINT (529860.88 2110989.24),,,F13,V_5
529860.88,2111164.78,2457.96,0.9,180.0,1.0,POINT (529860.88 2111164.78),0.0,,Quaternary_Pyro2,V_5
529860.88,2111306.04,1071.95,0.0,360.0,1.0,POINT (529860.88 2111306.04),0.0,,Neogene_Volcanic,V_5
529860.88,2111332.36,2467.78,5.01,180.0,1.0,POINT (529860.88 2111332.36),0.0,,Quaternary_Pyro2,V_5
529860.88,2111337.95,-2.66,0.0,360.0,1.0,POINT (529860.88 2111337.95),0.0,,Paleogene_Volcanic,V_5
529860.88,2111386.52,-1638.6,7.97,360.0,1.0,POINT (529860.88 2111386.52),0.0,,Cretaceous_limestone,V_5
529860.88,2111525.28,2711.0,86.0,3.51,1.0,POINT (529860.88 2111525.28),,,F12,V_5
529860.88,2111658.36,2496.37,5.01,180.0,1.0,POINT (529860.88 2111658.36),0.0,,Quaternary_Pyro2,V_5
529860.88,2111749.58,1071.95,0.0,360.0,1.0,POINT (529860.88 2111749.58),0.0,,Neogene_Volcanic,V_5
529860.88,2111765.56,-2.66,0.0,360.0,1.0,POINT (529860.88 2111765.56),0.0,,Paleogene_Volcanic,V_5
529860.88,2111790.66,-1695.18,7.97,360.0,1.0,POINT (529860.88 2111790.66),0.0,,Cretaceous_limestone,V_5
529192.44,2111825.08,2314.36,13.86,270.0,1.0,POINT (529192.44 2111825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
529579.01,2111825.08,1070.02,0.39,270.0,1.0,POINT (529579.01 2111825.08),0.0,Neogeno_Volcanico,Neogene_Volcanic,S_10
529632.11,2111825.08,-1.85,0.2,90.0,1.0,POINT (529632.11 2111825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_10
516357.09,2111825.08,1787.53,1.18,90.0,1.0,POINT (516357.09 2111825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
506954.27,2111825.08,1895.7,0.0,270.0,1.0,POINT (506954.27 2111825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
511593.97,2111825.08,1885.79,1.18,90.0,1.0,POINT (511593.97 2111825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
507828.2,2111825.08,1228.95,0.0,270.0,1.0,POINT (507828.2 2111825.08),0.0,Neogeno_Volcanico,Neogene_Volcanic,S_10
512059.2,2111825.08,2217.56,1.11,90.0,1.0,POINT (512059.2 2111825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_10
508888.98,2111825.08,2250.06,0.53,90.0,1.0,POINT (508888.98 2111825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_10
512762.74,2111825.08,-1700.0,0.0,270.0,1.0,POINT (512762.74 2111825.08),0.0,Cretacico-Calizas,Cretaceous_limestone,S_10
518583.04,2111825.08,2091.49,1.11,90.0,1.0,POINT (518583.04 2111825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_10
517618.61,2111825.08,1131.55,0.86,90.0,1.0,POINT (517618.61 2111825.08),0.0,Neogeno_Volcanico,Neogene_Volcanic,S_10
513409.12,2111825.08,2191.47,1.11,90.0,1.0,POINT (513409.12 2111825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_10
524872.82,2111825.08,1783.39,12.79,270.0,1.0,POINT (524872.82 2111825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
524666.54,2111825.08,2280.19,1.85,90.0,1.0,POINT (524666.54 2111825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
522409.94,2111825.08,1662.66,1.18,90.0,1.0,POINT (522409.94 2111825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
525751.48,2111825.08,2418.07,45.59,270.0,1.0,POINT (525751.48 2111825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
525448.91,2111825.08,2293.53,8.53,270.0,1.0,POINT (525448.91 2111825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
522658.18,2111825.08,2395.13,38.82,90.0,1.0,POINT (522658.18 2111825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
524384.81,2111825.08,2285.49,0.74,90.0,1.0,POINT (524384.81 2111825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
524371.31,2111825.08,2048.66,13.83,270.0,1.0,POINT (524371.31 2111825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_10
523603.98,2111825.08,-1700.0,0.0,270.0,1.0,POINT (523603.98 2111825.08),0.0,Cretacico-Calizas,Cretaceous_limestone,S_10
523106.85,2111825.08,2300.54,0.61,90.0,1.0,POINT (523106.85 2111825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
525142.11,2111825.08,2238.36,13.83,270.0,1.0,POINT (525142.11 2111825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_10
523977.35,2111825.08,2290.78,0.74,90.0,1.0,POINT (523977.35 2111825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
524316.2,2111825.08,1657.06,12.79,270.0,1.0,POINT (524316.2 2111825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
523389.54,2111825.08,1993.01,1.58,90.0,1.0,POINT (523389.54 2111825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_10
525127.49,2111825.08,2265.32,1.85,90.0,1.0,POINT (525127.49 2111825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
524995.23,2111825.08,2269.58,1.85,90.0,1.0,POINT (524995.23 2111825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
524988.47,2111825.08,2200.55,13.83,270.0,1.0,POINT (524988.47 2111825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_10
524974.24,2111825.08,2494.0,86.0,3.51,1.0,POINT (524974.24 2111825.08),,,F12,S_10
525802.46,2111825.08,1934.02,6.34,270.0,1.0,POINT (525802.46 2111825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
524289.69,2111825.08,17.03,0.2,90.0,1.0,POINT (524289.69 2111825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_10
527869.53,2111825.08,2140.73,1.38,270.0,1.0,POINT (527869.53 2111825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
530133.88,2111825.08,2625.72,26.85,270.0,1.0,POINT (530133.88 2111825.08),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
531692.32,2111825.08,-1700.0,0.0,270.0,1.0,POINT (531692.32 2111825.08),0.0,Cretacico-Calizas,Cretaceous_limestone,S_10
536972.57,2111825.08,1120.53,0.39,270.0,1.0,POINT (536972.57 2111825.08),0.0,Neogeno_Volcanico,Neogene_Volcanic,S_10
537005.38,2111825.08,-27.91,0.2,90.0,1.0,POINT (537005.38 2111825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_10
529860.88,2111927.51,2649.73,31.91,180.0,1.0,POINT (529860.88 2111927.51),0.0,,Quaternary_Pyro2,V_5
529860.88,2113204.36,2620.88,65.77,360.0,1.0,POINT (529860.88 2113204.36),0.0,,Quaternary_Pyro2,V_5
529860.88,2113320.07,2466.95,37.87,360.0,1.0,POINT (529860.88 2113320.07),0.0,,Quaternary_Pyro2,V_5
529860.88,2113478.82,2407.42,2.6,360.0,1.0,POINT (529860.88 2113478.82),0.0,,Quaternary_Pyro2,V_5
529860.88,2113653.45,2411.39,5.19,180.0,1.0,POINT (529860.88 2113653.45),0.0,,Quaternary_Pyro2,V_5
