X,Y,Z,dip,azimuth,polarity,geometry,Id,Unidad,formation,name
493897.81,2150766.32,1654.0,0.0,348.36,1.0,POINT (493897.81 2150766.32),0.0,Neogeno-Piro,Neogene_pyro,S_13
493847.99,2151008.27,1982.91,1.5,348.36,1.0,POINT (493847.99 2151008.27),0.0,Cuaternario-Lac,Quaternary_Lac,S_13
493811.58,2151185.06,1154.0,0.0,348.36,1.0,POINT (493811.58 2151185.06),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_13
493777.29,2151351.57,134.0,0.0,348.36,1.0,POINT (493777.29 2151351.57),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_13
493757.22,2151449.02,1904.0,0.0,348.36,1.0,POINT (493757.22 2151449.02),0.0,Cuaternario-Alv,Quaternary_alluvial,S_13
493748.85,2151489.69,1654.0,0.0,348.36,1.0,POINT (493748.85 2151489.69),0.0,Neogeno-Piro,Neogene_pyro,S_13
495498.26,2151825.08,2204.0,80.0,130.57,1.0,POINT (495498.26 2151825.08),,,NF,S_1
494023.48,2151825.08,105.72,0.41,270.0,1.0,POINT (494023.48 2151825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_1
495346.71,2151825.08,1135.18,0.41,270.0,1.0,POINT (495346.71 2151825.08),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_1
493975.69,2151825.08,1626.01,0.21,270.0,1.0,POINT (493975.69 2151825.08),0.0,Neogeno-Piro,Neogene_pyro,S_1
495176.79,2151825.08,1133.97,0.41,270.0,1.0,POINT (495176.79 2151825.08),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_1
495127.95,2151825.08,1133.62,0.41,270.0,1.0,POINT (495127.95 2151825.08),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_1
494811.19,2151825.08,1629.02,0.21,270.0,1.0,POINT (494811.19 2151825.08),0.0,Neogeno-Piro,Neogene_pyro,S_1
495720.88,2151825.08,1137.85,0.41,270.0,1.0,POINT (495720.88 2151825.08),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_1
494997.64,2151825.08,112.65,0.41,270.0,1.0,POINT (494997.64 2151825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_1
495834.63,2151825.08,1138.66,0.41,270.0,1.0,POINT (495834.63 2151825.08),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_1
500544.85,2151825.08,1155.51,0.11,270.0,1.0,POINT (500544.85 2151825.08),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_1
497450.16,2151825.08,1641.77,47.88,270.0,1.0,POINT (497450.16 2151825.08),0.0,Neogeno-Piro,Neogene_pyro,S_1
499651.47,2151825.08,142.0,0.0,270.0,1.0,POINT (499651.47 2151825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_1
498709.63,2151825.08,139.05,0.41,270.0,1.0,POINT (498709.63 2151825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_1
498410.73,2151825.08,1906.54,0.4,270.0,1.0,POINT (498410.73 2151825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_1
