Id,formation,X,Y,Z,geometry
,Quaternary_alluvial,544768.8388999999,2185243.7904000003,2466.0,POINT (544768.8388999999 2185243.7904000003)
,Quaternary_alluvial,544561.1786000002,2187393.4865000006,2445.0,POINT (544561.1786000002 2187393.4865000006)
0.0,Quaternary_alluvial,544789.07,2187500.75,2451.05,POINT (544789.07 2187500.75)
0.0,Neogene_Volcanic,551711.53,2187500.75,1366.64,POINT (551711.53 2187500.75)
0.0,Paleogene_Volcanic,551314.63,2187500.75,170.47,POINT (551314.63 2187500.75)
,Quaternary_alluvial,555409.7227999996,2183960.0331999995,2512.0,POINT (555409.7227999996 2183960.0331999995)
,Quaternary_alluvial,555811.6564999996,2185028.721000001,2539.0,POINT (555811.6564999996 2185028.721000001)
,Quaternary_alluvial,559709.7499000002,2185110.9217000008,2500.0,POINT (559709.7499000002 2185110.9217000008)
0.0,Paleogene_Volcanic,555665.74,2187500.75,166.71,POINT (555665.74 2187500.75)
,Quaternary_alluvial,560209.3004999999,2183864.6082000006,2553.0,POINT (560209.3004999999 2183864.6082000006)
,Quaternary_alluvial,560455.6876999997,2184520.6994000003,2562.0,POINT (560455.6876999997 2184520.6994000003)
,Quaternary_volcanic,560819.9197000004,2186086.375,2524.0,POINT (560819.9197000004 2186086.375)
,Quaternary_alluvial,560819.9197000004,2186086.375,2524.0,POINT (560819.9197000004 2186086.375)
,Quaternary_alluvial,559978.9848999996,2186875.7818,2498.0,POINT (559978.9848999996 2186875.7818)
0.0,Neogene_Volcanic,561478.38,2187500.75,1359.78,POINT (561478.38 2187500.75)
0.0,Quaternary_alluvial,560007.27,2187500.75,2291.29,POINT (560007.27 2187500.75)
0.0,Neogene_Volcanic,562195.96,2187500.75,1590.83,POINT (562195.96 2187500.75)
0.0,ATF,562255.41,2187500.75,2597.33,POINT (562255.41 2187500.75)
0.0,Quaternary_volcanic,565400.8,2187500.75,2643.51,POINT (565400.8 2187500.75)
0.0,Paleogene_Volcanic,582980.09,2184015.19,259.03,POINT (582980.09 2184015.19)
,Quaternary_alluvial,573012.3033999996,2184082.5786000006,2747.0,POINT (573012.3033999996 2184082.5786000006)
,Quaternary_alluvial,573929.6820999999,2184235.727499999,2737.0,POINT (573929.6820999999 2184235.727499999)
,Quaternary_alluvial,575163.7713000001,2184560.2546,2764.0,POINT (575163.7713000001 2184560.2546)
,Quaternary_alluvial,572042.6188000003,2183943.1627,2778.0,POINT (572042.6188000003 2183943.1627)
,Quaternary_alluvial,569863.4155000001,2184102.6446,2791.0,POINT (569863.4155000001 2184102.6446)
,Quaternary_alluvial,567633.2368000001,2184171.7851,2758.0,POINT (567633.2368000001 2184171.7851)
,Quaternary_alluvial,571019.9600999998,2184287.4738,2800.0,POINT (571019.9600999998 2184287.4738)
,Quaternary_alluvial,569010.7551999995,2184643.3456,2785.0,POINT (569010.7551999995 2184643.3456)
,Quaternary_alluvial,571480.9014999997,2185045.809800001,2754.0,POINT (571480.9014999997 2185045.809800001)
,Quaternary_alluvial,568343.3216000004,2186339.4317000005,2763.0,POINT (568343.3216000004 2186339.4317000005)
0.0,Neogene_Volcanic,582980.09,2184094.91,1734.19,POINT (582980.09 2184094.91)
0.0,Paleogene_Volcanic,582980.09,2184215.57,260.54,POINT (582980.09 2184215.57)
,F2,582980.09,2184261.03,2955.0,POINT (582980.09 2184261.03)
0.0,Neogene_Volcanic,582980.09,2184294.74,1725.59,POINT (582980.09 2184294.74)
0.0,Neogene_Volcanic,582980.09,2186266.03,1640.75,POINT (582980.09 2186266.03)
,F1,582980.09,2186268.56,2733.0,POINT (582980.09 2186268.56)
0.0,Paleogene_Volcanic,582980.09,2186388.23,276.97,POINT (582980.09 2186388.23)
0.0,Neogene_Volcanic,582980.09,2186467.61,1632.07,POINT (582980.09 2186467.61)
0.0,Paleogene_Volcanic,582980.09,2186588.89,278.49,POINT (582980.09 2186588.89)
0.0,Neogene_Volcanic,579974.95,2187447.0,1212.67,POINT (579974.95 2187447)
,Quaternary_alluvial,574222.9521000003,2186065.8857000005,2767.0,POINT (574222.9521000003 2186065.8857000005)
0.0,Paleogene_Volcanic,577868.09,2186680.1,552.51,POINT (577868.09 2186680.1)
0.0,Cretaceous_limestone,577868.09,2186680.1,-1000.0,POINT (577868.09 2186680.1)
0.0,Neogene_Volcanic,577868.09,2186680.1,1377.74,POINT (577868.09 2186680.1)
0.0,Quaternary_alluvial,573950.46,2187500.75,2789.25,POINT (573950.46 2187500.75)
0.0,Paleogene_Volcanic,574809.5,2187500.75,285.39,POINT (574809.5 2187500.75)
0.0,Quaternary_alluvial,575261.21,2187500.75,2785.14,POINT (575261.21 2187500.75)
0.0,Neogene_Volcanic,574809.5,2187500.75,1588.87,POINT (574809.5 2187500.75)
0.0,Quaternary_alluvial,575052.97,2187500.75,2510.29,POINT (575052.97 2187500.75)
