x,y,z,id,lithology_name,elev_dem
499335.67355449544,2107004.559975935,-1794.0,13,basement,2985
499335.67355449544,2107004.559975935,-1682.0,13,basement,2985
499335.67355449544,2107004.559975935,-1570.0,13,basement,2985
499335.67355449544,2107004.559975935,-1458.0,13,basement,2985
499335.67355449544,2107004.559975935,-1346.0,13,basement,2985
499335.67355449544,2107004.559975935,-1234.0,13,basement,2985
499335.67355449544,2107004.559975935,-1122.0,13,basement,2985
499335.67355449544,2107004.559975935,-1010.0,13,basement,2985
499335.67355449544,2107004.559975935,-898.0,13,basement,2985
499335.67355449544,2107004.559975935,-786.0,13,basement,2985
499335.67355449544,2107004.559975935,-674.0,13,basement,2985
499335.67355449544,2107004.559975935,-562.0,13,basement,2985
499335.67355449544,2107004.559975935,-450.0,13,basement,2985
499335.67355449544,2107004.559975935,-338.0,13,basement,2985
499335.67355449544,2107004.559975935,-226.0,13,basement,2985
499335.67355449544,2107004.559975935,-114.0,13,basement,2985
499335.67355449544,2107004.559975935,-2.0,13,basement,2985
499335.67355449544,2107004.559975935,110.0,13,basement,2985
499335.67355449544,2107004.559975935,222.0,13,basement,2985
499335.67355449544,2107004.559975935,334.0,13,basement,2985
499335.67355449544,2107004.559975935,446.0,13,basement,2985
499335.67355449544,2107004.559975935,558.0,13,basement,2985
499335.67355449544,2107004.559975935,670.0,13,basement,2985
499335.67355449544,2107004.559975935,782.0,13,basement,2985
499335.67355449544,2107004.559975935,894.0,13,basement,2985
499335.67355449544,2107004.559975935,1006.0,13,basement,2985
499335.67355449544,2107004.559975935,1118.0,13,basement,2985
499335.67355449544,2107004.559975935,1230.0,13,basement,2985
499335.67355449544,2107004.559975935,1342.0,13,basement,2985
499335.67355449544,2107004.559975935,1454.0,12,Paleogene_Volcanic,2985
499335.67355449544,2107004.559975935,1566.0,12,Paleogene_Volcanic,2985
499335.67355449544,2107004.559975935,1678.0,12,Paleogene_Volcanic,2985
499335.67355449544,2107004.559975935,1790.0,12,Paleogene_Volcanic,2985
499335.67355449544,2107004.559975935,1902.0,12,Paleogene_Volcanic,2985
499335.67355449544,2107004.559975935,2014.0,11,Neogene_Volcanic,2985
499335.67355449544,2107004.559975935,2126.0,11,Neogene_Volcanic,2985
499335.67355449544,2107004.559975935,2238.0,11,Neogene_Volcanic,2985
499335.67355449544,2107004.559975935,2350.0,11,Neogene_Volcanic,2985
499335.67355449544,2107004.559975935,2462.0,3,Quaternary_volcanic,2985
499335.67355449544,2107004.559975935,2574.0,3,Quaternary_volcanic,2985
499335.67355449544,2107004.559975935,2686.0,3,Quaternary_volcanic,2985
499335.67355449544,2107004.559975935,2798.0,3,Quaternary_volcanic,2985
499335.67355449544,2107004.559975935,2910.0,3,Quaternary_volcanic,2985
499335.67355449544,2107844.563137566,-1794.0,13,basement,3068
499335.67355449544,2107844.563137566,-1682.0,13,basement,3068
499335.67355449544,2107844.563137566,-1570.0,13,basement,3068
499335.67355449544,2107844.563137566,-1458.0,13,basement,3068
499335.67355449544,2107844.563137566,-1346.0,13,basement,3068
499335.67355449544,2107844.563137566,-1234.0,13,basement,3068
499335.67355449544,2107844.563137566,-1122.0,13,basement,3068
499335.67355449544,2107844.563137566,-1010.0,13,basement,3068
499335.67355449544,2107844.563137566,-898.0,13,basement,3068
499335.67355449544,2107844.563137566,-786.0,13,basement,3068
499335.67355449544,2107844.563137566,-674.0,13,basement,3068
499335.67355449544,2107844.563137566,-562.0,13,basement,3068
499335.67355449544,2107844.563137566,-450.0,13,basement,3068
499335.67355449544,2107844.563137566,-338.0,13,basement,3068
499335.67355449544,2107844.563137566,-226.0,13,basement,3068
499335.67355449544,2107844.563137566,-114.0,13,basement,3068
499335.67355449544,2107844.563137566,-2.0,13,basement,3068
499335.67355449544,2107844.563137566,110.0,13,basement,3068
499335.67355449544,2107844.563137566,222.0,13,basement,3068
499335.67355449544,2107844.563137566,334.0,13,basement,3068
499335.67355449544,2107844.563137566,446.0,13,basement,3068
499335.67355449544,2107844.563137566,558.0,13,basement,3068
499335.67355449544,2107844.563137566,670.0,13,basement,3068
499335.67355449544,2107844.563137566,782.0,13,basement,3068
499335.67355449544,2107844.563137566,894.0,13,basement,3068
499335.67355449544,2107844.563137566,1006.0,13,basement,3068
499335.67355449544,2107844.563137566,1118.0,13,basement,3068
499335.67355449544,2107844.563137566,1230.0,13,basement,3068
499335.67355449544,2107844.563137566,1342.0,13,basement,3068
499335.67355449544,2107844.563137566,1454.0,12,Paleogene_Volcanic,3068
499335.67355449544,2107844.563137566,1566.0,12,Paleogene_Volcanic,3068
499335.67355449544,2107844.563137566,1678.0,12,Paleogene_Volcanic,3068
499335.67355449544,2107844.563137566,1790.0,12,Paleogene_Volcanic,3068
499335.67355449544,2107844.563137566,1902.0,11,Neogene_Volcanic,3068
499335.67355449544,2107844.563137566,2014.0,11,Neogene_Volcanic,3068
499335.67355449544,2107844.563137566,2126.0,11,Neogene_Volcanic,3068
499335.67355449544,2107844.563137566,2238.0,11,Neogene_Volcanic,3068
499335.67355449544,2107844.563137566,2350.0,11,Neogene_Volcanic,3068
499335.67355449544,2107844.563137566,2462.0,3,Quaternary_volcanic,3068
499335.67355449544,2107844.563137566,2574.0,3,Quaternary_volcanic,3068
499335.67355449544,2107844.563137566,2686.0,3,Quaternary_volcanic,3068
499335.67355449544,2107844.563137566,2798.0,3,Quaternary_volcanic,3068
499335.67355449544,2107844.563137566,2910.0,3,Quaternary_volcanic,3068
499335.67355449544,2107844.563137566,3022.0,3,Quaternary_volcanic,3068
