x,y,z,id,lithology_name,elev_dem
499503.93536643154,2128164.1241256967,-1298.23,14,basement,2248
499503.93536643154,2128164.1241256967,-1194.69,14,basement,2248
499503.93536643154,2128164.1241256967,-1091.15,14,basement,2248
499503.93536643154,2128164.1241256967,-987.61,14,basement,2248
499503.93536643154,2128164.1241256967,-884.0699999999999,14,basement,2248
499503.93536643154,2128164.1241256967,-780.53,14,basement,2248
499503.93536643154,2128164.1241256967,-676.99,14,basement,2248
499503.93536643154,2128164.1241256967,-573.4499999999999,14,basement,2248
499503.93536643154,2128164.1241256967,-469.90999999999997,14,basement,2248
499503.93536643154,2128164.1241256967,-366.37,14,basement,2248
499503.93536643154,2128164.1241256967,-262.8299999999999,14,basement,2248
499503.93536643154,2128164.1241256967,-159.28999999999996,14,basement,2248
499503.93536643154,2128164.1241256967,-55.75,14,basement,2248
499503.93536643154,2128164.1241256967,47.789999999999964,14,basement,2248
499503.93536643154,2128164.1241256967,151.33000000000015,14,basement,2248
499503.93536643154,2128164.1241256967,254.87000000000012,14,basement,2248
499503.93536643154,2128164.1241256967,358.4100000000001,14,basement,2248
499503.93536643154,2128164.1241256967,461.95000000000005,14,basement,2248
499503.93536643154,2128164.1241256967,565.49,14,basement,2248
499503.93536643154,2128164.1241256967,669.0300000000002,13,Paleogene_Volcanic,2248
499503.93536643154,2128164.1241256967,772.5700000000002,13,Paleogene_Volcanic,2248
499503.93536643154,2128164.1241256967,876.1100000000001,13,Paleogene_Volcanic,2248
499503.93536643154,2128164.1241256967,979.6500000000001,13,Paleogene_Volcanic,2248
499503.93536643154,2128164.1241256967,1083.19,12,Neogene_Volcanic,2248
499503.93536643154,2128164.1241256967,1186.73,12,Neogene_Volcanic,2248
499503.93536643154,2128164.1241256967,1290.27,12,Neogene_Volcanic,2248
499503.93536643154,2128164.1241256967,1393.81,12,Neogene_Volcanic,2248
499503.93536643154,2128164.1241256967,1497.3500000000004,12,Neogene_Volcanic,2248
499503.93536643154,2128164.1241256967,1600.8900000000003,11,Neogene_pyro,2248
499503.93536643154,2128164.1241256967,1704.4300000000003,11,Neogene_pyro,2248
499503.93536643154,2128164.1241256967,1807.9700000000003,3,Quaternary_volcanic,2248
499503.93536643154,2128164.1241256967,1911.5100000000002,3,Quaternary_volcanic,2248
499503.93536643154,2128164.1241256967,2015.0500000000002,3,Quaternary_volcanic,2248
499503.93536643154,2128164.1241256967,2118.59,3,Quaternary_volcanic,2248
499503.93536643154,2128164.1241256967,2222.13,3,Quaternary_volcanic,2248
499503.93536643154,2129323.09750583,-1298.23,14,basement,2240
499503.93536643154,2129323.09750583,-1194.69,14,basement,2240
499503.93536643154,2129323.09750583,-1091.15,14,basement,2240
499503.93536643154,2129323.09750583,-987.61,14,basement,2240
499503.93536643154,2129323.09750583,-884.0699999999999,14,basement,2240
499503.93536643154,2129323.09750583,-780.53,14,basement,2240
499503.93536643154,2129323.09750583,-676.99,14,basement,2240
499503.93536643154,2129323.09750583,-573.4499999999999,14,basement,2240
499503.93536643154,2129323.09750583,-469.90999999999997,14,basement,2240
499503.93536643154,2129323.09750583,-366.37,14,basement,2240
499503.93536643154,2129323.09750583,-262.8299999999999,14,basement,2240
499503.93536643154,2129323.09750583,-159.28999999999996,14,basement,2240
499503.93536643154,2129323.09750583,-55.75,14,basement,2240
499503.93536643154,2129323.09750583,47.789999999999964,14,basement,2240
499503.93536643154,2129323.09750583,151.33000000000015,14,basement,2240
499503.93536643154,2129323.09750583,254.87000000000012,14,basement,2240
499503.93536643154,2129323.09750583,358.4100000000001,13,Paleogene_Volcanic,2240
499503.93536643154,2129323.09750583,461.95000000000005,13,Paleogene_Volcanic,2240
499503.93536643154,2129323.09750583,565.49,13,Paleogene_Volcanic,2240
499503.93536643154,2129323.09750583,669.0300000000002,13,Paleogene_Volcanic,2240
499503.93536643154,2129323.09750583,772.5700000000002,13,Paleogene_Volcanic,2240
499503.93536643154,2129323.09750583,876.1100000000001,12,Neogene_Volcanic,2240
499503.93536643154,2129323.09750583,979.6500000000001,12,Neogene_Volcanic,2240
499503.93536643154,2129323.09750583,1083.19,12,Neogene_Volcanic,2240
499503.93536643154,2129323.09750583,1186.73,12,Neogene_Volcanic,2240
499503.93536643154,2129323.09750583,1290.27,12,Neogene_Volcanic,2240
499503.93536643154,2129323.09750583,1393.81,11,Neogene_pyro,2240
499503.93536643154,2129323.09750583,1497.3500000000004,11,Neogene_pyro,2240
499503.93536643154,2129323.09750583,1600.8900000000003,11,Neogene_pyro,2240
499503.93536643154,2129323.09750583,1704.4300000000003,3,Quaternary_volcanic,2240
499503.93536643154,2129323.09750583,1807.9700000000003,3,Quaternary_volcanic,2240
499503.93536643154,2129323.09750583,1911.5100000000002,3,Quaternary_volcanic,2240
499503.93536643154,2129323.09750583,2015.0500000000002,3,Quaternary_volcanic,2240
499503.93536643154,2129323.09750583,2118.59,2,Quaternary_alluvial,2240
499503.93536643154,2129323.09750583,2222.13,1,Quaternary_Lac,2240
499503.93536643154,2130482.0708859637,-1298.23,14,basement,2233
