x,y,z,id,lithology_name,elev_dem
445532.9235600951,2152998.7816199604,-1009.06,6,basement,2812
445532.9235600951,2152998.7816199604,-927.18,6,basement,2812
445532.9235600951,2152998.7816199604,-845.3,6,basement,2812
445532.9235600951,2152998.7816199604,-763.42,6,basement,2812
445532.9235600951,2152998.7816199604,-681.54,6,basement,2812
445532.9235600951,2152998.7816199604,-599.66,6,basement,2812
445532.9235600951,2152998.7816199604,-517.78,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,-435.9,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,-354.02,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,-272.14,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,-190.26,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,-108.38,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,-26.5,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,55.38000000000011,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,137.26,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,219.13999999999987,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,301.02,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,382.9000000000001,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,464.78,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,546.6599999999999,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,628.54,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,710.4200000000001,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,792.3,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,874.1799999999998,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,956.06,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,1037.94,5,Paleogene_Volcanic,2812
445532.9235600951,2152998.7816199604,1119.8200000000002,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,1201.6999999999998,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,1283.58,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,1365.46,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,1447.3399999999997,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,1529.2199999999998,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,1611.1,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,1692.98,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,1774.8600000000001,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,1856.7399999999998,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,1938.62,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,2020.5,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,2102.3799999999997,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,2184.2599999999998,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,2266.14,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,2348.02,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,2429.9,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,2511.7799999999997,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,2593.66,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,2675.54,4,Neogene_Volcanic,2812
445532.9235600951,2152998.7816199604,2757.4199999999996,4,Neogene_Volcanic,2812
445532.9235600951,2153839.0174067114,-1009.06,6,basement,2905
445532.9235600951,2153839.0174067114,-927.18,6,basement,2905
445532.9235600951,2153839.0174067114,-845.3,6,basement,2905
445532.9235600951,2153839.0174067114,-763.42,6,basement,2905
445532.9235600951,2153839.0174067114,-681.54,6,basement,2905
445532.9235600951,2153839.0174067114,-599.66,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,-517.78,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,-435.9,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,-354.02,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,-272.14,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,-190.26,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,-108.38,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,-26.5,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,55.38000000000011,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,137.26,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,219.13999999999987,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,301.02,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,382.9000000000001,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,464.78,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,546.6599999999999,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,628.54,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,710.4200000000001,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,792.3,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,874.1799999999998,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,956.06,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,1037.94,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,1119.8200000000002,5,Paleogene_Volcanic,2905
445532.9235600951,2153839.0174067114,1201.6999999999998,4,Neogene_Volcanic,2905
445532.9235600951,2153839.0174067114,1283.58,4,Neogene_Volcanic,2905
445532.9235600951,2153839.0174067114,1365.46,4,Neogene_Volcanic,2905
445532.9235600951,2153839.0174067114,1447.3399999999997,4,Neogene_Volcanic,2905
445532.9235600951,2153839.0174067114,1529.2199999999998,4,Neogene_Volcanic,2905
445532.9235600951,2153839.0174067114,1611.1,4,Neogene_Volcanic,2905
445532.9235600951,2153839.0174067114,1692.98,4,Neogene_Volcanic,2905
445532.9235600951,2153839.0174067114,1774.8600000000001,4,Neogene_Volcanic,2905
445532.9235600951,2153839.0174067114,1856.7399999999998,4,Neogene_Volcanic,2905
445532.9235600951,2153839.0174067114,1938.62,4,Neogene_Volcanic,2905
445532.9235600951,2153839.0174067114,2020.5,4,Neogene_Volcanic,2905
445532.9235600951,2153839.0174067114,2102.3799999999997,4,Neogene_Volcanic,2905
445532.9235600951,2153839.0174067114,2184.2599999999998,4,Neogene_Volcanic,2905
445532.9235600951,2153839.0174067114,2266.14,4,Neogene_Volcanic,2905
445532.9235600951,2153839.0174067114,2348.02,4,Neogene_Volcanic,2905
445532.9235600951,2153839.0174067114,2429.9,4,Neogene_Volcanic,2905
