Id,Unidad,formation,name,geometry,X,Y,Z
,,F10,N_11,POINT (517120.1072618452 2172500.754762702),517120.11,2172500.75,2400.0
0.0,NF,NF,N_11,POINT (513202.2115507955 2172500.754762835),513202.21,2172500.75,2294.28
,,F9,N_11,POINT (501358.0064169386 2172500.7547632367),501358.01,2172500.75,2371.0
0.0,TF,TF,N_11,POINT (496501.4115507947 2172500.754763401),496501.41,2172500.75,2222.51
,,F3,S_7,POINT (466034.84312860365 2126825.0773497447),466034.84,2126825.08,3700.0
,,F9,S_7,POINT (466707.4925171272 2126825.0773498584),466707.49,2126825.08,3670.0
,,F4,S_7,POINT (470700.7195425015 2126825.0773505312),470700.72,2126825.08,3420.0
,,NF,S_7,POINT (474936.39843381854 2126825.0773512446),474936.4,2126825.08,2989.0
,,XiF,V_2,POINT (457999.44198244915 2126827.4825825677),457999.44,2126827.48,2858.0
,,TF,V_1,POINT (457999.441982433 2127278.0685981805),457999.44,2127278.07,2870.0
,,F7,V_1,POINT (457999.44198235794 2129323.2686288073),457999.44,2129323.27,2862.0
,,F2,V_1,POINT (457999.4419823357 2129927.60026371),457999.44,2129927.6,2824.0
,,F1,V_1,POINT (457999.4419822675 2131785.6138645126),457999.44,2131785.61,3176.0
,,TF,S_6,POINT (461838.5418306745 2131825.077349038),461838.54,2131825.08,3239.0
,,F2,S_6,POINT (462364.1199381313 2131825.0773491263),462364.12,2131825.08,3310.0
,,F9,S_6,POINT (470500.5959658887 2131825.0773504972),470500.6,2131825.08,2885.0
,,F8,S_6,POINT (474728.4638214236 2131825.0773512097),474728.46,2131825.08,2574.0
,,F3,S_6,POINT (476084.10421574843 2131825.0773514383),476084.1,2131825.08,2588.0
,,NF,S_6,POINT (479113.7618083374 2131825.0773519487),479113.76,2131825.08,2460.0
,,F8,V_1,POINT (457999.44198218297 2134085.755978136),457999.44,2134085.76,2946.0
,,F10,V_1,POINT (457999.4419821618 2134663.528983688),457999.44,2134663.53,3045.0
,,F10,S_5,POINT (461376.8613028974 2136825.07734896),461376.86,2136825.08,3000.0
,,TF,S_5,POINT (466060.1082044624 2136825.077349749),466060.11,2136825.08,2858.0
,,F1,S_5,POINT (469559.67314017046 2136825.077350339),469559.67,2136825.08,2834.0
,,MxF,S_7,POINT (492285.80927016266 2126825.0773541685),492285.81,2126825.08,2402.0
,,F7,S_6,POINT (482799.5375595955 2131825.07735257),482799.54,2131825.08,2275.0
,,F4,S_6,POINT (485768.74676103663 2131825.07735307),485768.75,2131825.08,2245.0
0.0,MxF,MxF,S_6,POINT (490848.30434572964 2131825.0773539264),490848.3,2131825.08,2223.09
,,NF,S_5,POINT (483291.1251828563 2136825.077352653),483291.13,2136825.08,2258.0
,,F3,S_5,POINT (486133.3653028932 2136825.0773531315),486133.37,2136825.08,2224.0
0.0,MxF,MxF,S_5,POINT (489533.74434487725 2136825.0773537047),489533.74,2136825.08,2219.7
0.0,F3,F3,S_13,POINT (495780.33660682355 2141624.917740796),495780.34,2141624.92,2229.0
,,F1,S_4,POINT (481029.3774002424 2141825.0773522714),481029.38,2141825.08,2256.0
,,F2,S_4,POINT (485366.65309668035 2141825.0773530025),485366.65,2141825.08,2221.0
,,F2,S_5,POINT (473865.38651740586 2136825.0773510644),473865.39,2136825.08,2576.0
,,F9,S_5,POINT (474293.69941465027 2136825.0773511366),474293.7,2136825.08,2525.0
,,F10,S_4,POINT (469189.361304951 2141825.0773502765),469189.36,2141825.08,2646.0
,,TF,S_4,POINT (470281.67457825027 2141825.0773504605),470281.67,2141825.08,2651.0
,,F9,S_4,POINT (478086.8028634118 2141825.0773517755),478086.8,2141825.08,2347.0
,,F10,S_3,POINT (476091.73102764774 2146242.593972804),476091.73,2146242.59,2353.0
,,TF,S_3,POINT (474063.8146663614 2146304.623274614),474063.81,2146304.62,2416.0
,,F10,S_2,POINT (479027.5587283232 2148121.5237012375),479027.56,2148121.52,2264.0
,,TF,S_2,POINT (475684.1922702015 2148223.78959891),475684.19,2148223.79,2335.0
,,TF,S_1,POINT (478724.8073258261 2151825.077351883),478724.81,2151825.08,2250.0
,,NF,S_4,POINT (487468.48855737515 2141825.0773533564),487468.49,2141825.08,2216.0
0.0,MxF,MxF,S_4,POINT (488964.834344042 2141825.077353609),488964.83,2141825.08,2213.04
0.0,F2,F2,S_3,POINT (494294.7359291623 2145685.8058791533),494294.74,2145685.81,2213.0
,,NF,S_3,POINT (490783.7457640925 2145793.199000861),490783.75,2145793.2,2211.0
0.0,F1,F1,S_3,POINT (490189.78579133574 2145811.366871645),490189.79,2145811.37,2211.0
0.0,,MxF,S_3,POINT (486867.5341620207 2145912.986915222),486867.53,2145912.99,2215.0
0.0,F2,F2,S_13,POINT (494886.810595013 2145963.819476114),494886.81,2145963.82,2213.92
,,F9,S_3,POINT (481316.7779568956 2146082.7717931853),481316.78,2146082.77,2243.0
0.0,F1,F1,S_13,POINT (494540.1811167841 2147647.0287220906),494540.18,2147647.03,2210.0
0.0,F1,F1,S_2,POINT (494511.8489666448 2147647.894842157),494511.85,2147647.89,2210.0
,,NF,S_2,POINT (492387.5795663932 2147712.8713620324),492387.58,2147712.87,2209.0
0.0,MxF,MxF,S_2,POINT (485841.00427209766 2147913.116057772),485841.0,2147913.12,2216.98
,,F9,S_2,POINT (482776.4268606919 2148006.8544390984),482776.43,2148006.85,2231.0
,,NF,S_13,POINT (494103.6353665347 2149766.86528898),494103.64,2149766.87,2203.0
0.0,MxF,MxF,S_1,POINT (483833.75434236415 2151825.077352744),483833.75,2151825.08,2221.86
,,F10,S_1,POINT (484814.3613090583 2151825.0773529094),484814.36,2151825.08,2219.0
,,F9,S_1,POINT (485673.00976093486 2151825.077353054),485673.01,2151825.08,2217.0
0.0,F10,F10,S_13,POINT (492647.40340108937 2156838.2289855927),492647.4,2156838.23,2222.97
0.0,F10,F10,N_14,POINT (493713.0515502868 2157500.754763496),493713.05,2157500.75,2221.0
0.0,F9,F9,N_14,POINT (489978.6915502874 2157500.754763623),489978.69,2157500.75,2238.14
,,TF,N_14,POINT (483516.8571073026 2157500.7547638416),483516.86,2157500.75,2233.0
0.0,F9,F9,S_13,POINT (491970.24019644584 2160126.487597972),491970.24,2160126.49,2246.21
0.0,F9,F9,N_13,POINT (493771.7915504519 2162500.7547634947),493771.79,2162500.75,2272.86
,,TF,N_13,POINT (487738.4234803698 2162500.7547636996),487738.42,2162500.75,2552.0
,,TF,S_13,POINT (490747.3911724788 2166064.5595533387),490747.39,2166064.56,2718.0
0.0,F6,F6,S_13,POINT (490711.3103633181 2166239.7655164665),490711.31,2166239.77,2717.24
,,TF,N_12,POINT (491959.98985343764 2167500.754763558),491959.99,2167500.75,2566.0
0.0,MxF,MxF,N_14,POINT (479921.41155028995 2157500.7547639636),479921.41,2157500.75,2242.94
,,MxF,N_13,POINT (478355.9648938428 2162500.754764018),478355.96,2162500.75,2293.0
,,F6,V_1,POINT (457999.4419811074 2163367.5021577924),457999.44,2163367.5,2700.0
0.0,ToF,ToF,V_1,POINT (457999.4419809938 2166460.430371373),457999.44,2166460.43,2708.97
,,MxF,N_12,POINT (475790.4218226357 2167500.754764107),475790.42,2167500.75,2305.0
,,MxF,N_11,POINT (473224.8787514312 2172500.754764191),473224.88,2172500.75,2325.0
0.0,ToF,ToF,N_11,POINT (464610.41155079845 2172500.754764483),464610.41,2172500.75,2467.14
