Id_1,Unidad,formation,Shape_Leng,Shape_Area,InPoly_FID,SimPgnFlag,MaxSimpTol,MinSimpTol,Id_2,geometry,X,Y,Z
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (480776.76829999965 2172352.711100001),480776.76829999965,2172352.711100001,2260.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (479595.17420000024 2172915.8050999995),479595.17420000024,2172915.8050999995,2261.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (479793.61209999956 2173511.1187999994),479793.61209999956,2173511.1187999994,2255.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (479628.2472000001 2174238.7244000006),479628.2472000001,2174238.7244000006,2257.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (479333.96234240377 2174565.7075668685),479333.96234240377,2174565.7075668685,2261.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (498384.5971999997 2173839.2027000003),498384.5971999997,2173839.2027000003,2259.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (498913.76489999983 2171854.8237999994),498913.76489999983,2171854.8237999994,2243.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (500125.4304999998 2170444.7203),500125.4304999998,2170444.7203,2247.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (498819.5919890998 2174565.7075621723),498819.5919890998,2174565.7075621723,2264.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (484039.7846999997 2169104.0912999995),484039.7846999997,2169104.0912999995,2250.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (482207.93989999965 2169178.558),482207.93989999965,2169178.558,2250.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (480554.2906999998 2169079.3390999995),480554.2906999998,2169079.3390999995,2249.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (480124.34190000035 2170699.9152000006),480124.34190000035,2170699.9152000006,2250.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (481075.49820000026 2172033.0691),481075.49820000026,2172033.0691,2250.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (492906.5366000002 2169518.5318),492906.5366000002,2169518.5318,2249.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (491336.0831000004 2170369.1854),491336.0831000004,2170369.1854,2249.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (490868.39520000014 2170393.8005),490868.39520000014,2170393.8005,2259.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (485393.1166000003 2158205.7094),485393.1166000003,2158205.7094,2249.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (486809.6465999996 2157093.7512999997),486809.6465999996,2157093.7512999997,2243.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (486977.28699999955 2156305.8417000007),486977.28699999955,2156305.8417000007,2242.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (487798.7246000003 2156104.6733),487798.7246000003,2156104.6733,2249.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (487614.32019999996 2154394.7419000007),487614.32019999996,2154394.7419000007,2240.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (489223.6673999997 2154377.9779000003),489223.6673999997,2154377.9779000003,2240.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (490246.2735000001 2155903.504899999),490246.2735000001,2155903.504899999,2241.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (490061.8690999998 2157361.9758),490061.8690999998,2157361.9758,2237.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (491185.0593999997 2156926.1109999996),491185.0593999997,2156926.1109999996,2229.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (491604.1601999998 2159340.1317999996),491604.1601999998,2159340.1317999996,2241.0
0,Cuaternario-Lac,Quaternary_Lac,362993.533448,1372269682.42,100,0,400.0,400.0,0,POINT (493314.0915999999 2159558.064200001),493314.0915999999,2159558.064200001,2234.0
